ID,Time_GMT,Phone,Organization,Rating,NumberReview,Category,Country,CountryCode,State,City,Street,Building
1,12-03-2021 02:10,12562343500,The Station's Best,4,4,Delivery,USA,US,AL,Alexander City, Jefferson,977
2,12-03-2021 02:10,12566758004,Pizza Hut,3,6,Delivery,USA,US,AL,Alexander City, 4581 Hwy,4581
3,12-03-2021 02:10,12562342181,Zaxby's Chicken Fingers & Buffalo Wings,3,13,Delivery,USA,US,AL,Alexander City, 4497 Highway,4497
4,12-03-2021 02:10,12564097272,Papa John's Pizza,1,1,Delivery,USA,US,AL,Alexander City, 2064 Cherokee,2064
5,12-03-2021 02:10,12562155510,Arby's,2,7,Delivery,USA,US,AL,Alexander City, 2593 Hwy,2593
6,12-03-2021 02:16,12562343500,The Station's Best,4,4,Delivery,USA,US,AL,Alexander City, Jefferson,977
7,12-03-2021 02:16,12566758004,Pizza Hut,3,6,Delivery,USA,US,AL,Alexander City, 4581 Hwy,4581
8,12-03-2021 02:16,12562342181,Zaxby's Chicken Fingers & Buffalo Wings,3,13,Delivery,USA,US,AL,Alexander City, 4497 Highway,4497
9,12-03-2021 02:16,12564097272,Papa John's Pizza,1,1,Delivery,USA,US,AL,Alexander City, 2064 Cherokee,2064
10,12-03-2021 02:16,12562155510,Arby's,2,7,Delivery,USA,US,AL,Alexander City, 2593 Hwy,2593
11,12-03-2021 02:17,13342221398,Happy Kitchen,3.5,11,Delivery,USA,US,AL,Andalusia, 700 Western Gate,700
12,12-03-2021 02:17,13344271400,Ophelia's Italian Restaurant,3.5,30,Delivery,USA,US,AL,Andalusia, River Falls,401
13,12-03-2021 02:17,13342224106,Pizza Hut,1.5,3,Delivery,USA,US,AL,Andalusia, 1203 Dr Martin Luther King Jr,1203
14,12-03-2021 02:17,13345828484,Zaxby's Chicken Fingers & Buffalo Wings,3.5,12,Delivery,USA,US,AL,Andalusia, River Falls,1000
15,12-03-2021 02:17,13344278969,Arby's,2,5,Delivery,USA,US,AL,Andalusia, 326 Dr Mlk Jr,326
16,12-03-2021 02:17,13344278969,Arby's,1,3,Delivery,USA,US,AL,Andalusia, 328 W,328
17,12-03-2021 02:17,13342225005,Tropical Smoothie Cafe,3,3,Delivery,USA,US,AL,Andalusia, 411 West,411
18,12-03-2021 02:17,12567707256,Thai One On,4,92,Delivery,USA,US,AL,Anniston, Noble,911
19,12-03-2021 02:17,12562360305,House Of Chen,4,10,Delivery,USA,US,AL,Anniston, E 43rd,4
20,12-03-2021 02:17,12568319981,Jasmine Chinese Thai & Sushi,4,32,Delivery,USA,US,AL,Oxford, Snow,1225
21,12-03-2021 02:17,12568483131,Marco's Pizza,4.5,3,Delivery,USA,US,AL,Anniston, 2485 US Hwy 431,2485
22,12-03-2021 02:17,12568310678,Zheng's Garden Chinese Restaurant,3.5,17,Delivery,USA,US,AL,Oxford, 135 Plaza,135
23,12-03-2021 02:18,12568316588,J Wok,3,6,Delivery,USA,US,AL,Oxford, 1807 US Hwy 78,1807
24,12-03-2021 02:18,12564359940,Isshin Asian Cafe,3.5,10,Delivery,USA,US,AL,Jacksonville, 815 Pelham Rd,815
